user_id,recency,frequency,monetary
129863522,113,7,23.240000000000002
130496744,119,2,20.549999999999997
131028611,129,2,10.64
131878551,109,2,6.49
131994138,78,20,83.88
132136725,147,6,22.12
132176314,143,10,40.730000000000004
132692896,4,59,189.73
133575160,12,1,9.52
134424129,107,2,11.11
134747658,45,3,28.57
135535592,33,8,20.64
136540093,74,3,14.36
137015634,54,5,27.62
137385912,19,12,90.91
137810775,136,3,13.4
140439288,148,6,21.560000000000002
140904065,92,2,27.810000000000002
140913335,25,23,141.66
141330451,116,6,16.47
141894282,104,7,18.33
142717569,12,63,266.56
144811207,127,5,10.88
144814405,86,10,32.46
145844909,79,2,14.68
145894216,93,4,42.32
146137902,49,14,39.84
146310893,63,17,54.05
146594787,93,9,37.93
146613395,106,10,36.1
146699059,22,29,280.99
147140434,125,7,43.76
147152600,138,12,30.29
147392796,77,7,58.730000000000004
147417144,89,4,11.33
147558947,27,11,44.62
147995998,9,9,27.37
148604608,1,2,5.0
148648103,47,10,43.9
149005745,48,19,77.1
149015329,114,2,8.49
149017750,64,12,61.48
149295616,40,2,7.140000000000001
149797702,54,12,110.7
149936015,106,16,124.91
149958406,78,7,35.0
150025339,114,11,74.71000000000001
150191214,145,8,35.56
150318419,0,306,3291.4
150673027,54,8,32.18
150768457,116,14,39.88
150908548,22,5,7.04
151045021,99,29,150.57
151188116,90,1,53.81
151229872,2,40,178.86
151411420,17,9,29.93
151651065,99,4,11.41
151745761,146,8,35.29
151747503,112,2,7.859999999999999
151783193,150,3,7.779999999999999
151909411,18,7,45.5
151971056,145,5,17.44
152013756,50,13,61.6
152034948,146,4,34.13
152422125,144,5,36.81
152423178,22,6,33.410000000000004
152656876,46,7,33.629999999999995
152659135,93,2,14.95
153131177,141,5,29.21
153316955,0,65,604.77
153378194,76,10,150.41
153836569,1,41,194.93
153840255,93,11,34.39
153879841,35,23,88.51
153921069,136,8,43.58
153948850,102,1,11.75
153949136,125,4,11.08
154065884,3,37,185.8
154124582,92,18,94.14
154227711,94,4,17.85
154241132,56,3,10.73
154287989,57,10,109.07000000000001
154315809,8,3,52.730000000000004
154561210,37,19,43.85
154588939,19,9,31.36
154753706,91,4,19.56
154772471,72,4,40.12
155085826,121,3,9.6
155120691,87,12,62.74
155229616,6,1,14.37
155272727,100,5,84.39
155465169,28,4,12.4
156025323,80,3,9.84
156036701,86,2,6.2700000000000005
156245495,72,5,32.629999999999995
156248968,116,6,44.68
156316522,98,2,30.75
156408650,22,8,78.77
156430889,50,62,249.93
156589591,14,5,84.25
156633818,143,4,23.42
156916187,80,2,8.41
157051313,130,15,51.37
157114988,58,10,87.89
157186703,32,8,29.72
157359148,32,5,27.28
157636589,4,3,12.93
158089303,45,60,467.74
158336610,116,41,116.00999999999999
158522583,37,2,16.3
158902070,91,7,13.03
159159653,78,2,18.1
159260812,18,55,209.68
159277817,22,13,62.41
159353100,118,10,19.39
159365622,73,10,42.510000000000005
159486861,53,24,109.2
159597290,46,5,33.87
159683384,115,4,12.61
160001681,34,16,78.94
160135244,33,37,152.84
160341416,81,13,37.67
160482242,130,4,5.119999999999999
160628491,55,1,13.49
160665890,44,6,6.67
160905182,19,43,421.72
160962173,131,6,28.42
161026125,4,14,91.63
161182325,96,17,71.17
161190690,19,2,63.18
161222358,102,4,21.65
161271134,92,2,50.699999999999996
162071561,27,2,5.48
162075181,82,3,24.29
162794465,45,1,9.56
162807077,0,25,125.23
162860978,72,1,17.46
162869939,91,6,46.42
163536167,138,2,28.42
163577690,6,8,57.800000000000004
163816885,104,2,5.84
164036515,93,3,23.439999999999998
164121230,78,9,36.51
164126863,31,3,31.35
164180924,50,12,97.59
164222529,12,27,145.18
164283472,13,7,16.28
164300561,146,2,9.45
164784086,109,6,49.519999999999996
164882623,99,5,26.05
164957499,27,16,102.48
165349588,29,4,30.87
165374999,82,8,33.32
165488152,25,4,6.29
166045127,10,2,8.73
166177367,117,1,2.19
166465405,9,15,63.17
168757641,118,3,27.6
168761469,93,9,10.18
168937486,139,2,18.1
168987868,92,5,8.69
169017538,15,2,10.16
169447226,75,9,50.85
169486644,134,4,9.89
169624528,25,6,62.85
169851951,13,8,29.27
169938179,15,56,326.65999999999997
170054120,119,6,8.72
170054839,106,3,31.150000000000002
170061254,28,19,101.2
170386254,32,35,138.72
170692471,33,5,91.25999999999999
171204327,139,2,40.13
171268721,131,7,34.79
171498754,19,3,17.19
171681431,93,11,29.69
172059968,16,7,59.23
172276596,14,12,54.370000000000005
172335919,68,7,41.02
172368833,34,34,131.98
