antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1487580005092295511,frozenset({'1487580004832248652'}),0.179,0.007,0.002,0.014,1.927,0.001,1.007,0.586
1487580004832248652,frozenset({'1487580005092295511'}),0.007,0.179,0.002,0.344,1.927,0.001,1.253,0.485
1487580005268456287,frozenset({'1487580004832248652'}),0.148,0.007,0.002,0.015,2.136,0.001,1.008,0.625
1487580004832248652,frozenset({'1487580005268456287'}),0.007,0.148,0.002,0.317,2.136,0.001,1.247,0.536
1487580005092295511,frozenset({'1487580004857414477'}),0.179,0.008,0.003,0.017,2.228,0.002,1.010,0.671
1487580004857414477,frozenset({'1487580005092295511'}),0.008,0.179,0.003,0.398,2.228,0.002,1.364,0.556
1487580004857414477,frozenset({'1487580005268456287'}),0.008,0.148,0.003,0.393,2.649,0.002,1.403,0.627
1487580005268456287,frozenset({'1487580004857414477'}),0.148,0.008,0.003,0.021,2.649,0.002,1.013,0.731
1487580004857414477,frozenset({'1487580007675986893'}),0.008,0.126,0.002,0.264,2.101,0.001,1.188,0.528
1487580007675986893,frozenset({'1487580004857414477'}),0.126,0.008,0.002,0.016,2.101,0.001,1.009,0.599
1487580004857414477,frozenset({'1487580009286598681'}),0.008,0.128,0.002,0.259,2.018,0.001,1.176,0.509
1487580009286598681,frozenset({'1487580004857414477'}),0.128,0.008,0.002,0.016,2.018,0.001,1.008,0.579
1602943681873052386,frozenset({'1487580004857414477'}),0.104,0.008,0.002,0.023,2.972,0.002,1.016,0.740
1487580004857414477,frozenset({'1602943681873052386'}),0.008,0.104,0.002,0.308,2.972,0.002,1.296,0.669
1487580005092295511,frozenset({'1487580004882580302'}),0.179,0.011,0.003,0.017,1.653,0.001,1.007,0.481
1487580004882580302,frozenset({'1487580005092295511'}),0.011,0.179,0.003,0.295,1.653,0.001,1.165,0.399
1487580005134238553,frozenset({'1487580004882580302'}),0.043,0.011,0.002,0.055,5.188,0.002,1.047,0.843
1487580004882580302,frozenset({'1487580005134238553'}),0.011,0.043,0.002,0.221,5.188,0.002,1.230,0.816
1487580005268456287,frozenset({'1487580004882580302'}),0.148,0.011,0.003,0.018,1.741,0.001,1.008,0.500
1487580004882580302,frozenset({'1487580005268456287'}),0.011,0.148,0.003,0.258,1.741,0.001,1.148,0.430
1487580005595612013,frozenset({'1487580004882580302'}),0.087,0.011,0.005,0.053,4.968,0.004,1.044,0.875
1487580004882580302,frozenset({'1487580005595612013'}),0.011,0.087,0.005,0.432,4.968,0.004,1.607,0.807
1487580005671109489,frozenset({'1487580004882580302'}),0.068,0.011,0.002,0.033,3.114,0.002,1.023,0.728
1487580004882580302,frozenset({'1487580005671109489'}),0.011,0.068,0.002,0.210,3.114,0.002,1.181,0.686
1487580004882580302,frozenset({'1487580006317032337'}),0.011,0.115,0.002,0.196,1.695,0.001,1.100,0.414
1487580006317032337,frozenset({'1487580004882580302'}),0.115,0.011,0.002,0.018,1.695,0.001,1.007,0.464
1487580009286598681,frozenset({'1487580004882580302'}),0.128,0.011,0.003,0.023,2.217,0.002,1.013,0.630
1487580004882580302,frozenset({'1487580009286598681'}),0.011,0.128,0.003,0.284,2.217,0.002,1.218,0.555
1487580005050352469,frozenset({'1487580004916134735'}),0.022,0.029,0.003,0.115,3.924,0.002,1.097,0.762
1487580004916134735,frozenset({'1487580005050352469'}),0.029,0.022,0.003,0.087,3.924,0.002,1.071,0.768
1487580005092295511,frozenset({'1487580004916134735'}),0.179,0.029,0.013,0.071,2.408,0.007,1.044,0.712
1487580004916134735,frozenset({'1487580005092295511'}),0.029,0.179,0.013,0.430,2.408,0.007,1.441,0.602
1487580005134238553,frozenset({'1487580004916134735'}),0.043,0.029,0.003,0.074,2.527,0.002,1.048,0.631
1487580004916134735,frozenset({'1487580005134238553'}),0.029,0.043,0.003,0.108,2.527,0.002,1.073,0.623
1487580004916134735,frozenset({'1487580005268456287'}),0.029,0.148,0.010,0.348,2.342,0.006,1.305,0.590
1487580005268456287,frozenset({'1487580004916134735'}),0.148,0.029,0.010,0.069,2.342,0.006,1.042,0.673
1487580005511725929,frozenset({'1487580004916134735'}),0.035,0.029,0.005,0.148,5.037,0.004,1.139,0.830
1487580004916134735,frozenset({'1487580005511725929'}),0.029,0.035,0.005,0.174,5.037,0.004,1.169,0.826
1487580005553668971,frozenset({'1487580004916134735'}),0.040,0.029,0.002,0.054,1.832,0.001,1.026,0.473
1487580004916134735,frozenset({'1487580005553668971'}),0.029,0.040,0.002,0.073,1.832,0.001,1.036,0.468
1487580005595612013,frozenset({'1487580004916134735'}),0.087,0.029,0.005,0.053,1.823,0.002,1.026,0.495
1487580004916134735,frozenset({'1487580005595612013'}),0.029,0.087,0.005,0.158,1.823,0.002,1.085,0.465
1487580005671109489,frozenset({'1487580004916134735'}),0.068,0.029,0.004,0.056,1.912,0.002,1.028,0.512
1487580004916134735,frozenset({'1487580005671109489'}),0.029,0.068,0.004,0.129,1.912,0.002,1.071,0.491
1487580004916134735,frozenset({'1487580005713052531'}),0.029,0.034,0.004,0.124,3.675,0.003,1.103,0.750
