antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
airnails,bpw_style,0.013,0.066,0.003,0.220,3.306,0.002,1.196,0.706
bpw_style,airnails,0.066,0.013,0.003,0.041,3.306,0.002,1.030,0.747
airnails,freedecor,0.013,0.055,0.003,0.226,4.153,0.002,1.222,0.769
freedecor,airnails,0.055,0.013,0.003,0.052,4.153,0.002,1.042,0.803
grattol,airnails,0.158,0.013,0.003,0.019,1.519,0.001,1.007,0.406
airnails,grattol,0.013,0.158,0.003,0.240,1.519,0.001,1.108,0.346
airnails,ingarden,0.013,0.107,0.003,0.202,1.881,0.001,1.119,0.474
ingarden,airnails,0.107,0.013,0.003,0.024,1.881,0.001,1.011,0.525
airnails,irisk,0.013,0.297,0.005,0.436,1.465,0.002,1.245,0.321
irisk,airnails,0.297,0.013,0.005,0.018,1.465,0.002,1.006,0.452
airnails,jas,0.013,0.004,0.002,0.171,38.339,0.002,1.201,0.986
jas,airnails,0.004,0.013,0.002,0.480,38.339,0.002,1.900,0.978
airnails,milv,0.013,0.054,0.002,0.167,3.107,0.001,1.136,0.687
milv,airnails,0.054,0.013,0.002,0.039,3.107,0.001,1.027,0.717
airnails,runail,0.013,0.330,0.006,0.463,1.405,0.002,1.249,0.292
runail,airnails,0.330,0.013,0.006,0.018,1.405,0.002,1.005,0.430
art,concept,0.029,0.048,0.002,0.073,1.511,0.001,1.027,0.348
concept,art,0.048,0.029,0.002,0.044,1.511,0.001,1.016,0.355
art,domix,0.029,0.064,0.003,0.097,1.508,0.001,1.036,0.347
domix,art,0.064,0.029,0.003,0.044,1.508,0.001,1.016,0.360
art,estel,0.029,0.086,0.004,0.143,1.655,0.002,1.066,0.408
estel,art,0.086,0.029,0.004,0.048,1.655,0.002,1.020,0.433
grattol,art,0.158,0.029,0.002,0.013,0.443,-0.003,0.983,-0.599
art,grattol,0.029,0.158,0.002,0.070,0.443,-0.003,0.905,-0.565
art,ingarden,0.029,0.107,0.002,0.083,0.777,-0.001,0.974,-0.228
ingarden,art,0.107,0.029,0.002,0.023,0.777,-0.001,0.993,-0.244
art,irisk,0.029,0.297,0.011,0.376,1.263,0.002,1.125,0.215
irisk,art,0.297,0.029,0.011,0.037,1.263,0.002,1.008,0.296
art,italwax,0.029,0.066,0.004,0.128,1.944,0.002,1.071,0.500
italwax,art,0.066,0.029,0.004,0.057,1.944,0.002,1.029,0.520
art,kapous,0.029,0.066,0.003,0.101,1.525,0.001,1.039,0.355
kapous,art,0.066,0.029,0.003,0.045,1.525,0.001,1.016,0.369
masura,art,0.109,0.029,0.003,0.026,0.901,-0.000,0.997,-0.110
art,masura,0.029,0.109,0.003,0.098,0.901,-0.000,0.988,-0.102
art,milv,0.029,0.054,0.002,0.083,1.550,0.001,1.032,0.366
milv,art,0.054,0.029,0.002,0.045,1.550,0.001,1.017,0.375
nagaraku,art,0.029,0.029,0.002,0.079,2.700,0.001,1.054,0.649
art,nagaraku,0.029,0.029,0.002,0.079,2.700,0.001,1.054,0.649
art,runail,0.029,0.330,0.010,0.349,1.057,0.001,1.029,0.056
runail,art,0.330,0.029,0.010,0.031,1.057,0.001,1.002,0.081
art,visage,0.029,0.029,0.029,1.000,34.136,0.028,inf,1.000
visage,art,0.029,0.029,0.029,1.000,34.136,0.028,inf,1.000
art,yoko,0.029,0.041,0.003,0.094,2.269,0.002,1.058,0.576
yoko,art,0.041,0.029,0.003,0.066,2.269,0.002,1.040,0.583
art,zinger,0.029,0.059,0.002,0.069,1.164,0.000,1.010,0.145
zinger,art,0.059,0.029,0.002,0.034,1.164,0.000,1.005,0.150
grattol,artex,0.158,0.010,0.003,0.020,1.953,0.002,1.010,0.580
artex,grattol,0.010,0.158,0.003,0.309,1.953,0.002,1.218,0.493
artex,ingarden,0.010,0.107,0.003,0.266,2.477,0.002,1.216,0.602
ingarden,artex,0.107,0.010,0.003,0.025,2.477,0.002,1.015,0.668
artex,irisk,0.010,0.297,0.004,0.382,1.285,0.001,1.137,0.224
irisk,artex,0.297,0.010,0.004,0.013,1.285,0.001,1.003,0.315
artex,runail,0.010,0.330,0.005,0.464,1.405,0.001,1.249,0.291
runail,artex,0.330,0.010,0.005,0.014,1.405,0.001,1.004,0.430
artex,uno,0.010,0.085,0.002,0.197,2.335,0.001,1.141,0.578
uno,artex,0.085,0.010,0.002,0.024,2.335,0.001,1.014,0.624
grattol,beautix,0.158,0.019,0.005,0.030,1.572,0.002,1.011,0.432
beautix,grattol,0.019,0.158,0.005,0.249,1.572,0.002,1.121,0.371
beautix,ingarden,0.019,0.107,0.003,0.157,1.458,0.001,1.058,0.320
ingarden,beautix,0.107,0.019,0.003,0.028,1.458,0.001,1.009,0.352
irisk,beautix,0.297,0.019,0.007,0.022,1.170,0.001,1.003,0.207
beautix,irisk,0.019,0.297,0.007,0.348,1.170,0.001,1.078,0.148
beautix,runail,0.019,0.330,0.007,0.346,1.048,0.000,1.024,0.047
runail,beautix,0.330,0.019,0.007,0.020,1.048,0.000,1.001,0.068
uno,beautix,0.085,0.019,0.003,0.040,2.125,0.002,1.022,0.578
beautix,uno,0.019,0.085,0.003,0.180,2.125,0.002,1.116,0.540
free,beauty,0.005,0.005,0.005,1.000,190.875,0.005,inf,1.000
beauty,free,0.005,0.005,0.005,1.000,190.875,0.005,inf,1.000
beauty,irisk,0.005,0.297,0.003,0.517,1.738,0.001,1.454,0.427
beauty,runail,0.005,0.330,0.003,0.567,1.718,0.001,1.547,0.420
benovy,bluesky,0.023,0.041,0.002,0.088,2.129,0.001,1.051,0.543
bluesky,benovy,0.041,0.023,0.002,0.049,2.129,0.001,1.027,0.553
benovy,bpw_style,0.023,0.066,0.003,0.128,1.933,0.001,1.071,0.494
bpw_style,benovy,0.066,0.023,0.003,0.044,1.933,0.001,1.022,0.517
benovy,domix,0.023,0.064,0.003,0.136,2.118,0.002,1.083,0.540
