antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
5304,5854897,0.020,0.026,0.002,0.104,3.992,0.002,1.087,0.765
5528035,5528034,0.015,0.007,0.004,0.240,34.364,0.003,1.307,0.985
5528034,5528035,0.007,0.015,0.004,0.506,34.364,0.003,1.993,0.978
5584838,5584836,0.004,0.004,0.003,0.680,177.058,0.003,3.117,0.998
5584836,5584838,0.004,0.004,0.003,0.667,177.058,0.003,2.989,0.998
5584840,5584836,0.003,0.004,0.002,0.824,214.301,0.002,5.645,0.998
5584836,5584840,0.004,0.003,0.002,0.566,214.301,0.002,2.296,0.999
5584844,5584836,0.004,0.004,0.003,0.663,172.623,0.003,2.959,0.998
5584836,5584844,0.004,0.004,0.003,0.677,172.623,0.003,3.082,0.998
5584838,5584844,0.004,0.004,0.002,0.619,157.775,0.002,2.611,0.997
5584844,5584838,0.004,0.004,0.002,0.594,157.775,0.002,2.454,0.998
5759491,5651975,0.010,0.006,0.002,0.228,35.538,0.002,1.286,0.982
5651975,5759491,0.006,0.010,0.002,0.370,35.538,0.002,1.570,0.978
5697463,5677043,0.003,0.006,0.002,0.712,110.575,0.002,3.456,0.994
5677043,5697463,0.006,0.003,0.002,0.343,110.575,0.002,1.518,0.997
5686925,5688124,0.022,0.017,0.004,0.176,10.142,0.003,1.193,0.922
5688124,5686925,0.017,0.022,0.004,0.223,10.142,0.003,1.259,0.917
5686925,5700037,0.022,0.026,0.004,0.166,6.365,0.003,1.168,0.862
5700037,5686925,0.026,0.022,0.004,0.140,6.365,0.003,1.137,0.865
5700046,5686925,0.013,0.022,0.002,0.164,7.455,0.002,1.170,0.877
5802432,5686925,0.024,0.022,0.004,0.171,7.783,0.004,1.180,0.893
5686925,5802432,0.022,0.024,0.004,0.185,7.783,0.004,1.198,0.891
5686925,5854897,0.022,0.026,0.003,0.118,4.530,0.002,1.104,0.797
5688124,5700037,0.017,0.026,0.002,0.138,5.313,0.002,1.130,0.826
5802432,5688124,0.024,0.017,0.004,0.181,10.413,0.004,1.200,0.926
5688124,5802432,0.017,0.024,0.004,0.248,10.413,0.004,1.298,0.920
5700035,5700037,0.009,0.026,0.002,0.242,9.308,0.002,1.286,0.901
5700046,5700035,0.013,0.009,0.002,0.173,19.335,0.002,1.199,0.960
5700035,5700046,0.009,0.013,0.002,0.242,19.335,0.002,1.303,0.957
5700046,5700037,0.013,0.026,0.004,0.300,11.530,0.003,1.392,0.925
5700037,5700046,0.026,0.013,0.004,0.145,11.530,0.003,1.154,0.938
5802432,5700037,0.024,0.026,0.003,0.126,4.823,0.002,1.114,0.812
5700037,5802432,0.026,0.024,0.003,0.115,4.823,0.002,1.103,0.814
5843836,5700037,0.010,0.026,0.002,0.212,8.139,0.002,1.236,0.886
5854897,5700037,0.026,0.026,0.003,0.109,4.171,0.002,1.093,0.781
5700037,5854897,0.026,0.026,0.003,0.109,4.171,0.002,1.093,0.781
5729864,5854897,0.013,0.026,0.002,0.154,5.889,0.002,1.151,0.841
5730207,5792800,0.007,0.022,0.003,0.406,18.799,0.003,1.646,0.953
5792800,5730207,0.022,0.007,0.003,0.128,18.799,0.003,1.139,0.968
5745314,5745313,0.006,0.005,0.003,0.573,117.224,0.003,2.332,0.997
5745313,5745314,0.005,0.006,0.003,0.683,117.224,0.003,3.132,0.996
5749149,5749145,0.009,0.003,0.002,0.235,85.092,0.002,1.303,0.997
5749145,5749149,0.003,0.009,0.002,0.746,85.092,0.002,3.910,0.991
5749154,5749149,0.004,0.009,0.003,0.725,82.675,0.003,3.608,0.991
5749149,5749154,0.009,0.004,0.003,0.292,82.675,0.003,1.408,0.997
5751383,5751422,0.021,0.024,0.008,0.389,16.185,0.008,1.597,0.958
5751422,5751383,0.024,0.021,0.008,0.339,16.185,0.008,1.482,0.961
5849033,5751422,0.016,0.024,0.004,0.216,8.996,0.003,1.245,0.904
5751422,5849033,0.024,0.016,0.004,0.147,8.996,0.003,1.153,0.911
5759491,5759492,0.010,0.013,0.003,0.246,19.461,0.002,1.310,0.959
5759492,5759491,0.013,0.010,0.003,0.202,19.461,0.002,1.241,0.961
