antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
bpw_style,airnails,0.113,0.016,0.004,0.034,2.140,0.002,1.019,0.600
airnails,bpw_style,0.016,0.113,0.004,0.242,2.140,0.002,1.170,0.541
freedecor,airnails,0.051,0.016,0.003,0.051,3.183,0.002,1.037,0.722
airnails,freedecor,0.016,0.051,0.003,0.161,3.183,0.002,1.132,0.697
grattol,airnails,0.163,0.016,0.003,0.021,1.311,0.001,1.005,0.284
airnails,grattol,0.016,0.163,0.003,0.214,1.311,0.001,1.065,0.241
ingarden,airnails,0.102,0.016,0.003,0.026,1.638,0.001,1.010,0.434
airnails,ingarden,0.016,0.102,0.003,0.167,1.638,0.001,1.078,0.396
airnails,irisk,0.016,0.260,0.006,0.367,1.408,0.002,1.168,0.295
irisk,airnails,0.260,0.016,0.006,0.023,1.408,0.002,1.007,0.392
airnails,jas,0.016,0.006,0.003,0.181,31.774,0.003,1.213,0.984
jas,airnails,0.006,0.016,0.003,0.508,31.774,0.003,1.999,0.974
airnails,milv,0.016,0.054,0.003,0.158,2.926,0.002,1.124,0.669
milv,airnails,0.054,0.016,0.003,0.047,2.926,0.002,1.032,0.696
runail,airnails,0.330,0.016,0.006,0.017,1.093,0.000,1.002,0.127
airnails,runail,0.016,0.330,0.006,0.361,1.093,0.000,1.048,0.086
art,concept,0.026,0.047,0.002,0.089,1.906,0.001,1.047,0.488
concept,art,0.047,0.026,0.002,0.049,1.906,0.001,1.025,0.499
art,domix,0.026,0.070,0.003,0.105,1.490,0.001,1.039,0.338
domix,art,0.070,0.026,0.003,0.039,1.490,0.001,1.013,0.354
estel,art,0.089,0.026,0.003,0.039,1.500,0.001,1.013,0.366
art,estel,0.026,0.089,0.003,0.134,1.500,0.001,1.052,0.342
grattol,art,0.163,0.026,0.003,0.016,0.622,-0.002,0.990,-0.421
art,grattol,0.026,0.163,0.003,0.101,0.622,-0.002,0.931,-0.385
ingarden,art,0.102,0.026,0.002,0.022,0.844,-0.000,0.996,-0.170
art,ingarden,0.026,0.102,0.002,0.086,0.844,-0.000,0.983,-0.159
art,irisk,0.026,0.260,0.009,0.344,1.320,0.002,1.127,0.249
irisk,art,0.260,0.026,0.009,0.034,1.320,0.002,1.009,0.328
kapous,art,0.066,0.026,0.003,0.041,1.581,0.001,1.016,0.394
art,kapous,0.026,0.066,0.003,0.105,1.581,0.001,1.043,0.377
art,masura,0.026,0.095,0.002,0.082,0.870,-0.000,0.987,-0.133
masura,art,0.095,0.026,0.002,0.022,0.870,-0.000,0.997,-0.142
runail,art,0.330,0.026,0.008,0.023,0.900,-0.001,0.997,-0.143
art,runail,0.026,0.330,0.008,0.297,0.900,-0.001,0.953,-0.103
art,visage,0.026,0.026,0.026,1.000,38.703,0.025,inf,1.000
visage,art,0.026,0.026,0.026,1.000,38.703,0.025,inf,1.000
grattol,artex,0.163,0.008,0.003,0.017,1.958,0.001,1.008,0.585
artex,grattol,0.008,0.163,0.003,0.319,1.958,0.001,1.230,0.493
ingarden,artex,0.102,0.008,0.003,0.025,2.933,0.002,1.017,0.734
artex,ingarden,0.008,0.102,0.003,0.298,2.933,0.002,1.280,0.665
artex,irisk,0.008,0.260,0.004,0.450,1.730,0.002,1.345,0.425
irisk,artex,0.260,0.008,0.004,0.015,1.730,0.002,1.006,0.570
runail,artex,0.330,0.008,0.004,0.013,1.584,0.002,1.005,0.551
artex,runail,0.008,0.330,0.004,0.524,1.584,0.002,1.405,0.372
bpw_style,beautix,0.113,0.014,0.002,0.020,1.358,0.001,1.005,0.297
beautix,bpw_style,0.014,0.113,0.002,0.153,1.358,0.001,1.048,0.267
grattol,beautix,0.163,0.014,0.004,0.027,1.843,0.002,1.013,0.547
beautix,grattol,0.014,0.163,0.004,0.301,1.843,0.002,1.197,0.464
ingarden,beautix,0.102,0.014,0.002,0.024,1.658,0.001,1.010,0.442
beautix,ingarden,0.014,0.102,0.002,0.169,1.658,0.001,1.081,0.403
