antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
4600,4607,0.008,0.006,0.002,0.329,58.286,0.002,1.482,0.990
4607,4600,0.006,0.008,0.002,0.438,58.286,0.002,1.767,0.988
4768,4600,0.006,0.008,0.002,0.357,47.505,0.002,1.544,0.985
4600,4768,0.008,0.006,0.002,0.274,47.505,0.002,1.370,0.986
4958,5304,0.009,0.027,0.002,0.230,8.610,0.002,1.264,0.892
5304,4958,0.027,0.009,0.002,0.078,8.610,0.002,1.075,0.908
5809910,5304,0.065,0.027,0.002,0.032,1.201,0.000,1.006,0.179
5304,5809910,0.027,0.065,0.002,0.078,1.201,0.000,1.014,0.172
5854897,5304,0.036,0.027,0.004,0.108,4.053,0.003,1.091,0.781
5304,5854897,0.027,0.036,0.004,0.145,4.053,0.003,1.128,0.774
5532,5463,0.004,0.006,0.002,0.507,82.408,0.002,2.016,0.992
5463,5532,0.006,0.004,0.002,0.366,82.408,0.002,1.570,0.994
5528035,5528034,0.011,0.007,0.003,0.266,36.209,0.003,1.353,0.983
5528034,5528035,0.007,0.011,0.003,0.401,36.209,0.003,1.651,0.980
5561044,5561064,0.013,0.008,0.004,0.306,37.241,0.004,1.429,0.986
5561064,5561044,0.008,0.013,0.004,0.475,37.241,0.004,1.880,0.981
5584838,5584836,0.004,0.005,0.003,0.764,156.347,0.003,4.213,0.998
5584836,5584838,0.005,0.004,0.003,0.630,156.347,0.003,2.691,0.998
5584840,5584836,0.004,0.005,0.003,0.720,147.454,0.003,3.558,0.997
5584836,5584840,0.005,0.004,0.003,0.552,147.454,0.003,2.224,0.998
5584844,5584836,0.004,0.005,0.003,0.647,132.454,0.003,2.819,0.997
5584836,5584844,0.005,0.004,0.003,0.571,132.454,0.003,2.323,0.997
5584840,5584838,0.004,0.004,0.003,0.686,170.389,0.003,3.176,0.998
5584838,5584840,0.004,0.004,0.003,0.638,170.389,0.003,2.751,0.998
5584844,5584838,0.004,0.004,0.002,0.559,138.711,0.002,2.258,0.997
5584838,5584844,0.004,0.004,0.002,0.598,138.711,0.002,2.479,0.997
5584844,5584840,0.004,0.004,0.002,0.493,131.612,0.002,1.964,0.997
5584840,5584844,0.004,0.004,0.002,0.568,131.612,0.002,2.304,0.996
5759491,5651975,0.010,0.005,0.002,0.208,37.893,0.002,1.256,0.984
5651975,5759491,0.005,0.010,0.002,0.393,37.893,0.002,1.631,0.979
5697463,5677043,0.003,0.006,0.002,0.709,109.575,0.002,3.415,0.994
5677043,5697463,0.006,0.003,0.002,0.382,109.575,0.002,1.613,0.997
5802432,5686925,0.025,0.013,0.002,0.100,7.472,0.002,1.097,0.888
5686925,5802432,0.013,0.025,0.002,0.184,7.472,0.002,1.196,0.878
5700037,5700035,0.026,0.010,0.002,0.077,7.631,0.002,1.072,0.893
5700035,5700037,0.010,0.026,0.002,0.202,7.631,0.002,1.220,0.878
5700046,5700035,0.013,0.010,0.003,0.198,19.739,0.002,1.235,0.961
5700035,5700046,0.010,0.013,0.003,0.249,19.739,0.002,1.315,0.959
5700037,5700046,0.026,0.013,0.004,0.150,11.871,0.004,1.161,0.941
5700046,5700037,0.013,0.026,0.004,0.314,11.871,0.004,1.419,0.927
5751422,5700037,0.028,0.026,0.002,0.072,2.712,0.001,1.049,0.650
5700037,5751422,0.026,0.028,0.002,0.077,2.712,0.001,1.052,0.648
5802432,5700037,0.025,0.026,0.003,0.107,4.032,0.002,1.090,0.771
5700037,5802432,0.026,0.025,0.003,0.100,4.032,0.002,1.083,0.772
5809910,5700037,0.065,0.026,0.002,0.035,1.323,0.001,1.009,0.261
5700037,5809910,0.026,0.065,0.002,0.086,1.323,0.001,1.023,0.251
5815662,5700037,0.027,0.026,0.002,0.082,3.112,0.001,1.061,0.697
5700037,5815662,0.026,0.027,0.002,0.083,3.112,0.001,1.061,0.697
5700037,5833330,0.026,0.031,0.002,0.077,2.461,0.001,1.049,0.610
5833330,5700037,0.031,0.026,0.002,0.065,2.461,0.001,1.041,0.613
5700037,5854897,0.026,0.036,0.004,0.143,3.991,0.003,1.125,0.770
5854897,5700037,0.036,0.026,0.004,0.106,3.991,0.003,1.088,0.777
5729011,5728995,0.004,0.003,0.002,0.574,165.941,0.002,2.338,0.998
5728995,5729011,0.003,0.004,0.002,0.642,165.941,0.002,2.784,0.997
5745313,5745314,0.004,0.006,0.003,0.690,119.501,0.003,3.206,0.996
5745314,5745313,0.006,0.004,0.003,0.489,119.501,0.003,1.949,0.997
5749145,5749149,0.003,0.012,0.002,0.743,60.046,0.002,3.841,0.987
5749149,5749145,0.012,0.003,0.002,0.200,60.046,0.002,1.246,0.996
5749154,5749149,0.005,0.012,0.003,0.683,55.188,0.003,3.113,0.986
5749149,5749154,0.012,0.005,0.003,0.254,55.188,0.003,1.334,0.994
5751422,5751383,0.028,0.024,0.009,0.305,12.632,0.008,1.404,0.948
5751383,5751422,0.024,0.028,0.009,0.357,12.632,0.008,1.512,0.944
5809910,5751383,0.065,0.024,0.002,0.037,1.551,0.001,1.014,0.380
5751383,5809910,0.024,0.065,0.002,0.101,1.551,0.001,1.040,0.364
5849033,5751383,0.023,0.024,0.003,0.133,5.512,0.002,1.126,0.838
5751383,5849033,0.024,0.023,0.003,0.125,5.512,0.002,1.117,0.839
5854897,5751383,0.036,0.024,0.002,0.059,2.463,0.001,1.038,0.616
5751383,5854897,0.024,0.036,0.002,0.088,2.463,0.001,1.057,0.609
5751422,5809910,0.028,0.065,0.004,0.155,2.371,0.003,1.106,0.595
5809910,5751422,0.065,0.028,0.004,0.067,2.371,0.003,1.042,0.619
5751422,5833330,0.028,0.031,0.002,0.084,2.696,0.001,1.058,0.647
5833330,5751422,0.031,0.028,0.002,0.076,2.696,0.001,1.052,0.649
5751422,5849033,0.028,0.023,0.006,0.202,8.909,0.005,1.224,0.914
5849033,5751422,0.023,0.028,0.006,0.252,8.909,0.005,1.299,0.908
5751422,5854897,0.028,0.036,0.002,0.078,2.195,0.001,1.046,0.560
