antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1487580005092295511,frozenset({'1487580005268456287'}),0.200,0.170,0.101,0.507,2.990,0.067,1.684,0.832
1487580005268456287,frozenset({'1487580005092295511'}),0.170,0.200,0.101,0.598,2.990,0.067,1.989,0.801
1783999067156644376,frozenset({'1487580008246412266'}),0.039,0.089,0.031,0.798,8.919,0.027,4.507,0.924
1487580009311764506,frozenset({'1487580009286598681'}),0.081,0.135,0.045,0.551,4.069,0.034,1.925,0.821
1487580009362096156,frozenset({'1487580009286598681'}),0.027,0.135,0.014,0.511,3.778,0.010,1.769,0.756
1487580012902088873,frozenset({'1487580013011140782'}),0.020,0.039,0.011,0.563,14.484,0.010,2.201,0.950
1487580013053083824,frozenset({'1487580013011140782'}),0.023,0.039,0.012,0.512,13.156,0.011,1.968,0.946
1487580013841613016,frozenset({'1487580013858390233'}),0.053,0.034,0.030,0.574,16.657,0.028,2.267,0.992
1487580013858390233,frozenset({'1487580013841613016'}),0.034,0.053,0.030,0.876,16.657,0.028,7.648,0.974
"1487580005134238553, 1487580005092295511",frozenset({'1487580005268456287'}),0.021,0.170,0.011,0.553,3.261,0.008,1.857,0.708
"1487580005134238553, 1487580005268456287",frozenset({'1487580005092295511'}),0.019,0.200,0.011,0.588,2.943,0.008,1.944,0.673
"1487580005092295511, 1487580005595612013",frozenset({'1487580005268456287'}),0.029,0.170,0.017,0.576,3.395,0.012,1.957,0.727
"1487580005595612013, 1487580005268456287",frozenset({'1487580005092295511'}),0.028,0.200,0.017,0.612,3.061,0.011,2.063,0.692
"1487580005671109489, 1487580005092295511",frozenset({'1487580005268456287'}),0.031,0.170,0.017,0.550,3.243,0.012,1.845,0.714
"1487580005671109489, 1487580005268456287",frozenset({'1487580005092295511'}),0.028,0.200,0.017,0.612,3.059,0.012,2.060,0.692
"1487580005092295511, 1487580005754995573",frozenset({'1487580005268456287'}),0.020,0.170,0.012,0.572,3.372,0.008,1.939,0.718
"1487580005754995573, 1487580005268456287",frozenset({'1487580005092295511'}),0.019,0.200,0.012,0.608,3.039,0.008,2.040,0.684
"1487580006317032337, 1487580005092295511",frozenset({'1487580005268456287'}),0.046,0.170,0.025,0.547,3.225,0.017,1.832,0.723
"1487580006317032337, 1487580005268456287",frozenset({'1487580005092295511'}),0.040,0.200,0.025,0.621,3.104,0.017,2.109,0.706
"1487580005092295511, 1487580006509970331",frozenset({'1487580005268456287'}),0.017,0.170,0.010,0.598,3.525,0.007,2.064,0.729
"1487580006509970331, 1487580005268456287",frozenset({'1487580005092295511'}),0.016,0.200,0.010,0.648,3.243,0.007,2.275,0.703
